event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
pre_deal&pre_action,27,0.028873733180273024,0.018974855962797577,0.0453328034974505,0.9259259259259259,0.07407407407407407,long,0.9259259259259259,0.1389188135345005
has_relief&has_action,26,0.03212970555323311,0.011443363888642977,0.053167311423612064,0.8461538461538461,0.15384615384615385,long,0.8461538461538461,0.13862538087701437
has_china&deal_only,93,0.017749409993138066,0.015222010393814767,0.03525323073564679,0.7741935483870968,0.22580645161290322,long,0.7741935483870968,0.13251802156451756
posts_very_high&deal_only,96,0.017443560156591976,0.018652551603766887,0.040836691209686284,0.7604166666666666,0.23958333333333334,long,0.7604166666666666,0.12996379094696317
pre_action&deal_only,38,0.024212111999408294,0.018536334341442307,0.04110456139667389,0.868421052631579,0.13157894736842105,long,0.868421052631579,0.12961486616499968
has_exclamation,1016,0.005635805020151628,0.00937212834151957,0.0356750856549828,0.6978346456692913,0.3021653543307087,long,0.6978346456692913,0.12535894853766646
has_positive,931,0.0057717769138903715,0.009783123657927328,0.03617054470934387,0.7013963480128894,0.29860365198711064,long,0.7013963480128894,0.12352301328479624
has_exclamation&exclamation_heavy,900,0.005880269139796372,0.009713707110934222,0.03670664902059769,0.7,0.3,long,0.7,0.12348565193572379
exclamation_heavy,900,0.005880269139796372,0.009713707110934222,0.03670664902059769,0.7,0.3,long,0.7,0.12348565193572379
has_positive&has_exclamation,924,0.005764931297374242,0.009713707110934222,0.036223655759426945,0.7002164502164502,0.29978354978354976,long,0.7002164502164502,0.12270504840133996
posts_very_high&pre_action,34,0.02621127513320099,0.01821772172375624,0.04914060812982791,0.7941176470588235,0.20588235294117646,long,0.7941176470588235,0.12137030820337485
posts_very_high&deal_over_tariff,115,0.01516419086410979,0.01656462680685289,0.04034152181463708,0.7391304347826086,0.2608695652173913,long,0.7391304347826086,0.12019578759777783
deal_over_tariff&deal_only,273,0.009965982244545469,0.013158918776472461,0.03440891941378003,0.7289377289377289,0.27106227106227104,long,0.7289377289377289,0.12003056820529821
has_deal&deal_only,273,0.009965982244545469,0.013158918776472461,0.03440891941378003,0.7289377289377289,0.27106227106227104,long,0.7289377289377289,0.12003056820529821
deal_only,273,0.009965982244545469,0.013158918776472461,0.03440891941378003,0.7289377289377289,0.27106227106227104,long,0.7289377289377289,0.12003056820529821
has_exclamation&deal_only,273,0.009965982244545469,0.013158918776472461,0.03440891941378003,0.7289377289377289,0.27106227106227104,long,0.7289377289377289,0.12003056820529821
has_positive&exclamation_heavy,860,0.005819223248442143,0.009915232419721476,0.037149349368236106,0.6976744186046512,0.3023255813953488,long,0.6976744186046512,0.11906031946657566
has_attack&has_uppercase_phrase,225,0.010556359519388662,0.013395930915567122,0.03812538832689932,0.7333333333333333,0.26666666666666666,long,0.7333333333333333,0.11611995471327527
exclamation_heavy&deal_only,259,0.009947930823865237,0.012849471095002896,0.035120150509894844,0.722007722007722,0.277992277992278,long,0.722007722007722,0.11559112248173771
has_attack,643,0.006462347010243373,0.009964251865996587,0.0367663625121268,0.702954898911353,0.29704510108864696,long,0.702954898911353,0.11519223987589441
has_attack&has_exclamation,642,0.006455314517655132,0.009915232419721476,0.03679459744286601,0.7024922118380063,0.29750778816199375,long,0.7024922118380063,0.11490169485307195
has_positive&lots_of_excl,779,0.005892870308651166,0.009964251865996587,0.038030357413707847,0.6957637997432606,0.3042362002567394,long,0.6957637997432606,0.11443462238940613
exclamation_heavy&lots_of_excl,795,0.005809999868139459,0.009783123657927328,0.03792374757084825,0.6955974842767295,0.30440251572327043,long,0.6955974842767295,0.11395088159716751
lots_of_excl,795,0.005809999868139459,0.009783123657927328,0.03792374757084825,0.6955974842767295,0.30440251572327043,long,0.6955974842767295,0.11395088159716751
has_exclamation&lots_of_excl,795,0.005809999868139459,0.009783123657927328,0.03792374757084825,0.6955974842767295,0.30440251572327043,long,0.6955974842767295,0.11395088159716751
has_positive&deal_only,259,0.009841465830036119,0.013342410564057161,0.03500102866967651,0.7181467181467182,0.28185328185328185,long,0.7181467181467182,0.1137425213504813
has_china&short_posts,143,0.01317985253987161,0.010853497178447968,0.04232236987166091,0.7202797202797203,0.27972027972027974,long,0.7202797202797203,0.11352192770925475
has_action&deal_only,77,0.01632397170299941,0.016353295515095123,0.04007033010759857,0.7922077922077922,0.2077922077922078,long,0.7922077922077922,0.11347764274846246
has_night_post&deal_only,148,0.012744053350076747,0.014377370615443197,0.03867186177958125,0.7297297297297297,0.2702702702702703,long,0.7297297297297297,0.11313591110557542
short_posts&deal_over_tariff,151,0.012576639696718904,0.010626953438720665,0.035238728859488366,0.7284768211920529,0.271523178807947,long,0.7284768211920529,0.11258196658844365
has_attack&has_positive,619,0.006368129173144289,0.010175301301879047,0.03712574752892353,0.7027463651050081,0.2972536348949919,long,0.7027463651050081,0.11134117409259256
has_attack&exclamation_heavy,632,0.0063062111845130645,0.010046235460919872,0.036803111887470354,0.7009493670886076,0.2990506329113924,long,0.7009493670886076,0.11112549219108467
has_positive&has_uppercase_phrase,280,0.009251680199024075,0.011795124768137044,0.03864294656477034,0.7142857142857143,0.2857142857142857,long,0.7142857142857143,0.11057872858286091
short_posts&deal_only,138,0.012641976850633467,0.011035040780379868,0.03575109992180537,0.7391304347826086,0.2608695652173913,long,0.7391304347826086,0.10976796662918707
posts_very_high&has_action,88,0.01556762632178411,0.012481460597774996,0.044244651050513784,0.75,0.25,long,0.75,0.10952795976410737
exclamation_heavy&short_posts,450,0.007305053406020173,0.009495176298976116,0.03887580362361012,0.7044444444444444,0.29555555555555557,long,0.7044444444444444,0.10916323584690532
has_positive&short_posts,464,0.0072068732533220724,0.009567971165452938,0.03800955329587697,0.7025862068965517,0.2974137931034483,long,0.7025862068965517,0.10907004542694557
has_exclamation&deal_over_tariff,314,0.008599628261634164,0.012737177875751349,0.03471751824606175,0.7133757961783439,0.28662420382165604,long,0.7133757961783439,0.10870834214370621
has_deal&deal_over_tariff,314,0.008599628261634164,0.012737177875751349,0.03471751824606175,0.7133757961783439,0.28662420382165604,long,0.7133757961783439,0.10870834214370621
deal_over_tariff,314,0.008599628261634164,0.012737177875751349,0.03471751824606175,0.7133757961783439,0.28662420382165604,long,0.7133757961783439,0.10870834214370621
has_attack&deal_only,192,0.010965264996964626,0.013693810253350924,0.035389841749398625,0.7135416666666666,0.2864583333333333,long,0.7135416666666666,0.10841492769867946
posts_high&deal_only,159,0.011870653751289184,0.014215780125841126,0.04014019912344949,0.7232704402515723,0.27672955974842767,long,0.7232704402515723,0.10826146898116562
has_exclamation&short_posts,527,0.006689086102826648,0.008783783108170962,0.03733509622508584,0.698292220113852,0.301707779886148,long,0.698292220113852,0.10722826953851841
has_relief&deal_only,33,0.022751547205141928,0.01844418153257421,0.05472140392590224,0.8181818181818182,0.18181818181818182,long,0.8181818181818182,0.10693447218458593
has_attack&lots_of_excl,592,0.006213468930811794,0.010151760178861102,0.037790877351982104,0.7027027027027027,0.2972972972972973,long,0.7027027027027027,0.10623475198739103
pre_action&deal_over_tariff,43,0.019719154986189494,0.017543559753405935,0.042632710467243436,0.813953488372093,0.18604651162790697,long,0.813953488372093,0.10525000302463326
posts_very_high&has_china,130,0.012881033497845909,0.0096936747341132,0.03913414110709445,0.7153846153846154,0.2846153846153846,long,0.7153846153846154,0.1050659476541085
lots_of_excl&deal_only,242,0.009486704998698657,0.012806200185549343,0.03589139319711809,0.7107438016528925,0.2892561983471074,long,0.7107438016528925,0.10489050099452142
short_posts&china_streak_3d,39,0.020409809738106188,0.018999874884353174,0.04943830689089872,0.8205128205128205,0.1794871794871795,long,0.8205128205128205,0.10458192489203304
exclamation_heavy&deal_over_tariff,300,0.008520280682577703,0.012603505666380577,0.0353389166531448,0.7066666666666667,0.29333333333333333,long,0.7066666666666667,0.10428675052793698
has_uppercase_phrase&exclamation_heavy,279,0.00874568311547349,0.011581919198493607,0.039111009238141384,0.7132616487455197,0.2867383512544803,long,0.7132616487455197,0.1041944801398771
has_uppercase_phrase&lots_of_excl,266,0.008813704026103016,0.012129912528961784,0.039537766769907334,0.7218045112781954,0.2781954887218045,long,0.7218045112781954,0.1037573503676311
has_attack&has_all_caps,144,0.011313843967787467,0.013701641288839328,0.035617831470559906,0.7638888888888888,0.2361111111111111,long,0.7638888888888888,0.10371023637138511
has_action&pre_deal,52,0.01774668520883108,0.013922499941163902,0.03910322405259373,0.8076923076923077,0.19230769230769232,long,0.8076923076923077,0.10336294256070269
has_night_post&deal_over_tariff,179,0.010867004587711728,0.01414763575868494,0.03834768470163686,0.7094972067039106,0.2905027932960894,long,0.7094972067039106,0.10315423339079074
has_positive&has_all_caps,178,0.010505434379695316,0.012806200185549343,0.03456203312588791,0.7359550561797753,0.2640449438202247,long,0.7359550561797753,0.1031514432626517
posts_high&pre_relief,24,0.0252476281836157,0.01355868242134195,0.05623134359343141,0.8333333333333334,0.16666666666666666,long,0.8333333333333334,0.10307301044228356
has_positive&deal_over_tariff,300,0.008428365904571897,0.012806200185549343,0.035233073607559465,0.7033333333333334,0.2966666666666667,long,0.7033333333333334,0.10267511773288154
has_china&has_uppercase_phrase,124,0.012838974694873512,0.011346534230668226,0.041497938558478435,0.717741935483871,0.28225806451612906,long,0.717741935483871,0.10261468278651605
has_uppercase_phrase,298,0.008514999889352828,0.010612709335335535,0.03856939876587467,0.697986577181208,0.30201342281879195,long,0.697986577181208,0.10259822553113018
has_attack&deal_over_tariff,225,0.009661095969868663,0.013406958022974091,0.03532754806497379,0.7066666666666667,0.29333333333333333,long,0.7066666666666667,0.10240761728060782
has_attack&pre_relief,22,0.026323679820795576,0.01355868242134195,0.05872457581695756,0.8181818181818182,0.18181818181818182,long,0.8181818181818182,0.1010200931083682
has_uppercase_phrase&has_exclamation,294,0.008396151488745722,0.010612709335335535,0.03858684151616366,0.7006802721088435,0.29931972789115646,long,0.7006802721088435,0.10087274075739261
short_posts,574,0.006091781595618682,0.008869798522500472,0.03731039961006671,0.6898954703832753,0.31010452961672474,long,0.6898954703832753,0.10068935624484888
has_deal&short_posts,163,0.01086006575815411,0.0102904918989708,0.039074255430945,0.7239263803680982,0.27607361963190186,long,0.7239263803680982,0.10037386791304101
has_action&deal_over_tariff,93,0.013596156276452375,0.016181522121636593,0.041116552708363126,0.7634408602150538,0.23655913978494625,long,0.7634408602150538,0.1000997567780777
attack_heavy&has_all_caps,92,0.013859075269558202,0.012146672836950256,0.03367445189882006,0.75,0.25,long,0.75,0.09969868509256644
posts_very_high&positive_heavy,210,0.009562021183559732,0.012018425489833562,0.0447034042980135,0.719047619047619,0.28095238095238095,long,0.719047619047619,0.09963616459679644
has_action,194,0.009775705191875607,0.010890573430127226,0.04214330755894554,0.7268041237113402,0.27319587628865977,long,0.7268041237113402,0.09896151691235909
lots_of_excl&deal_over_tariff,282,0.008378977519158835,0.012603505666380577,0.035598717269087955,0.6985815602836879,0.30141843971631205,long,0.6985815602836879,0.09829528748762092
has_relief&has_attack,74,0.015656622617044372,0.013493048919145378,0.04089819801461351,0.7297297297297297,0.2702702702702703,long,0.7297297297297297,0.09828245213646217
has_all_caps&exclamation_heavy,180,0.009886977076481137,0.012964059770143477,0.03500283728822833,0.7388888888888889,0.2611111111111111,long,0.7388888888888889,0.09801192423513991
lots_of_excl&short_posts,384,0.007183325520025708,0.009394924194467191,0.041019062238889015,0.6953125,0.3046875,long,0.6953125,0.09787486962833933
positive_heavy&has_chips,25,0.022137345242267764,0.01656462680685289,0.025272806608408173,0.88,0.12,long,0.88,0.09740431906597816
positive_heavy&pre_relief,26,0.02364143521102134,0.01355868242134195,0.05428882564817455,0.8076923076923077,0.19230769230769232,long,0.8076923076923077,0.09736580495681095
deal_heavy&deal_only,100,0.013864454767357847,0.017564441355830795,0.035807135224676406,0.7,0.3,long,0.7,0.09705118337150492
has_deal&pre_action,49,0.016982779634153906,0.016353295515095123,0.042073600900381314,0.8163265306122449,0.1836734693877551,long,0.8163265306122449,0.09704445505230805
has_all_caps,184,0.009818116869788273,0.012806200185549343,0.03521090615374185,0.7282608695652174,0.2717391304347826,long,0.7282608695652174,0.09698935792161156
has_all_caps&has_exclamation,184,0.009818116869788273,0.012806200185549343,0.03521090615374185,0.7282608695652174,0.2717391304347826,long,0.7282608695652174,0.09698935792161156
posts_very_high&has_deal,138,0.011352130712391127,0.014097467256908969,0.04319254042056202,0.7246376811594203,0.2753623188405797,long,0.7246376811594203,0.09663575406949912
has_action&has_exclamation,192,0.009516016210005591,0.010890573430127226,0.042069174698426935,0.7291666666666666,0.2708333333333333,long,0.7291666666666666,0.09614630410804248
has_deal&has_action,106,0.012364707796479949,0.013922499941163902,0.04044127231279739,0.7547169811320755,0.24528301886792453,long,0.7547169811320755,0.09607732699919694
positive_heavy&has_uppercase_phrase,220,0.009055484490536376,0.012373539788748666,0.041427239873392634,0.7136363636363636,0.2863636363636364,long,0.7136363636363636,0.09585174044950505
has_all_caps&lots_of_excl,177,0.009793924891741274,0.012849471095002896,0.03526474624328183,0.7344632768361582,0.2655367231638418,long,0.7344632768361582,0.09570034166465974
has_china&deal_over_tariff,125,0.011978184664325727,0.012849471095002896,0.03722088328893982,0.712,0.288,long,0.712,0.09535116515706106
attack_heavy&volume_spike,90,0.013059867881486954,0.011952905686007709,0.03213590419798063,0.7666666666666667,0.23333333333333334,long,0.7666666666666667,0.09498753542666649
posts_high&deal_over_tariff,191,0.009795356240404039,0.013748164041778033,0.03948701978027332,0.7015706806282722,0.29842931937172773,long,0.7015706806282722,0.09497479173967675
attack_heavy&lots_of_excl,275,0.0078316297173295,0.012008330337780482,0.03877430002947332,0.7272727272727273,0.2727272727272727,long,0.7272727272727273,0.09445300825228754
has_positive&positive_heavy,626,0.00545542393066645,0.010024320379642071,0.039482892233063,0.6900958466453674,0.30990415335463256,long,0.6900958466453674,0.09419440011993867
positive_heavy&has_exclamation,626,0.00545542393066645,0.010024320379642071,0.039482892233063,0.6900958466453674,0.30990415335463256,long,0.6900958466453674,0.09419440011993867
positive_heavy,626,0.00545542393066645,0.010024320379642071,0.039482892233063,0.6900958466453674,0.30990415335463256,long,0.6900958466453674,0.09419440011993867
pre_deal&deal_only,131,0.011302281780722335,0.011635106133250694,0.03689776586923727,0.7251908396946565,0.2748091603053435,long,0.7251908396946565,0.09381106969276082
has_attack&attack_heavy,277,0.0077611843147989855,0.011785356259524038,0.03865545396168522,0.7256317689530686,0.2743682310469314,long,0.7256317689530686,0.09373119849977467
attack_heavy,277,0.0077611843147989855,0.011785356259524038,0.03865545396168522,0.7256317689530686,0.2743682310469314,long,0.7256317689530686,0.09373119849977467
attack_heavy&exclamation_heavy,277,0.0077611843147989855,0.011785356259524038,0.03865545396168522,0.7256317689530686,0.2743682310469314,long,0.7256317689530686,0.09373119849977467
attack_heavy&has_exclamation,277,0.0077611843147989855,0.011785356259524038,0.03865545396168522,0.7256317689530686,0.2743682310469314,long,0.7256317689530686,0.09373119849977467
positive_heavy&deal_only,198,0.009619659678832921,0.013095940829530028,0.03795627514414839,0.6919191919191919,0.30808080808080807,long,0.6919191919191919,0.09365860394784578
positive_heavy&exclamation_heavy,624,0.005435366315929252,0.00987494606386452,0.03954451448718379,0.6891025641025641,0.3108974358974359,long,0.6891025641025641,0.09356318114309173
has_action&lots_of_excl,178,0.00972760469555878,0.011254784440150045,0.04284971645475312,0.7191011235955056,0.2808988764044944,long,0.7191011235955056,0.09332669411003194
positive_heavy&lots_of_excl,605,0.0054730635965962665,0.009785640261732453,0.03999193926950646,0.687603305785124,0.31239669421487604,long,0.687603305785124,0.09256485772403993
posts_very_high&has_uppercase_phrase,129,0.011299331625304651,0.012251494720143086,0.04484930236209624,0.7209302325581395,0.27906976744186046,long,0.7209302325581395,0.09252111296447135
has_action&exclamation_heavy,185,0.009438371667517787,0.010853497178447968,0.042834797457204705,0.7189189189189189,0.2810810810810811,long,0.7189189189189189,0.09229174382090939
has_deal&has_exclamation,359,0.0069478541081824255,0.010927649681806484,0.03621020686621054,0.6991643454038997,0.3008356545961003,long,0.6991643454038997,0.0920401224324221
has_deal,359,0.0069478541081824255,0.010927649681806484,0.03621020686621054,0.6991643454038997,0.3008356545961003,long,0.6991643454038997,0.0920401224324221
attack_heavy&has_positive,274,0.007673166285905962,0.01189684329865226,0.03883546403607613,0.7226277372262774,0.2773722627737226,long,0.7226277372262774,0.09178347972641857
attack_heavy&has_uppercase_phrase,138,0.010779460550155325,0.012373539788748666,0.036235506404440745,0.7246376811594203,0.2753623188405797,long,0.7246376811594203,0.09176086191376014
has_relief&attack_heavy,45,0.01757955714660804,0.013697364123642863,0.03764692888225621,0.7777777777777778,0.2222222222222222,long,0.7777777777777778,0.09172119785303491
