window,hold,horizon,model_type,target,strategy,baseline,macro_f1,d_macro_f1,precision,d_precision,recall,d_recall,accuracy,d_accuracy,auc,d_auc,sharpe,d_sharpe,cumret,d_cumret,trades,d_trades,baseline_macro_f1,baseline_precision,baseline_recall,baseline_accuracy,baseline_auc,baseline_sharpe,baseline_cumret,baseline_trades,event_days,event_coverage,event_days_macro_f1,d_event_days_macro_f1,event_days_up_precision,d_event_days_up_precision,event_days_up_recall,d_event_days_up_recall,event_days_up_f1,d_event_days_up_f1,event_days_down_precision,d_event_days_down_precision,event_days_down_recall,d_event_days_down_recall,event_days_down_f1,d_event_days_down_f1,event_days_precision,d_event_days_precision,event_days_recall,d_event_days_recall,event_days_accuracy,d_event_days_accuracy,event_days_auc,d_event_days_auc,event_days_sharpe,d_event_days_sharpe,event_days_cumret,d_event_days_cumret,event_days_trade_accuracy,d_event_days_trade_accuracy,event_days_trades,d_event_days_trades,baseline_event_days,baseline_event_days_macro_f1,baseline_event_days_up_precision,baseline_event_days_up_recall,baseline_event_days_up_f1,baseline_event_days_down_precision,baseline_event_days_down_recall,baseline_event_days_down_f1,baseline_event_days_precision,baseline_event_days_recall,baseline_event_days_accuracy,baseline_event_days_auc,baseline_event_days_sharpe,baseline_event_days_cumret,baseline_event_days_trade_accuracy,baseline_event_days_trades,rule_event_days_cumret,rule_event_days_trade_accuracy,rule_event_days_trades,event_day_threshold_cumret,event_day_threshold_trade_accuracy,event_day_threshold_trades,hybrid_event_days_cumret,hybrid_event_days_trade_accuracy,hybrid_event_days_trades
3,1,3d_to_1d,lstm,0050.TW,full_event_market_lstm,market_only_lstm,0.36920088242073035,0.013800072704131139,0.6,0.12631578947368421,0.08490566037735849,0.0,0.44623655913978494,0.021505376344086002,0.49221698113207546,-0.023938679245283034,-1.1199023382962876,2.5559894120979907,-0.037740139569671816,0.40891384244067064,8,-118,0.3554008097165992,0.47368421052631576,0.08490566037735849,0.42473118279569894,0.5161556603773585,-3.6758917503942783,-0.44665398201034245,126,153,0.8225806451612904,0.3108108108108108,-0.07370645763502903,0.0,-0.5714285714285714,0.0,-0.09523809523809523,0.0,-0.16326530612244897,0.45098039215686275,-0.0022570179150797065,1.0,0.08695652173913049,0.6216216216216216,0.015852390852390874,0.0,-0.5714285714285714,0.0,-0.09523809523809523,0.45098039215686275,-0.01307189542483661,0.5274327122153208,-0.020703933747412084,0.0,3.0066798043645915,0.0,0.3435592735983338,0.0,-0.4803921568627451,0,-102,153,0.38451726844583983,0.5714285714285714,0.09523809523809523,0.16326530612244897,0.45323741007194246,0.9130434782608695,0.6057692307692307,0.5714285714285714,0.09523809523809523,0.46405228758169936,0.5481366459627329,-3.0066798043645915,-0.3435592735983338,0.4803921568627451,102,0.6866620388336382,0.5490196078431373,153,-0.11764996897710467,0.475,40,0.6866620388336382,0.5490196078431373,153
3,1,3d_to_1d,lstm,2303.TW,full_event_market_lstm,market_only_lstm,0.3310236220472441,-0.130327564806073,0.6666666666666666,0.11037527593818985,0.020618556701030927,-0.845360824742268,0.4576271186440678,-0.09039548022598864,0.4762886597938144,0.030025773195876293,0.0,0.8892906666606821,0.0,0.031287910206977854,0,-5,0.4613511868533171,0.5562913907284768,0.865979381443299,0.5480225988700564,0.4462628865979381,-0.8892906666606821,-0.031287910206977854,5,160,0.903954802259887,0.3229242667444915,-0.13285804618067854,0.5,-0.04814814814814816,0.011494252873563218,-0.8390804597701149,0.02247191011235955,-0.6441947565543071,0.45569620253164556,-0.024303797468354427,0.9863013698630136,0.821917808219178,0.6233766233766234,0.3784786641929499,0.5,-0.04814814814814816,0.011494252873563218,-0.8390804597701149,0.45625,-0.08124999999999999,0.45378680522752324,0.016847740513304954,0.0,0.9352163162543533,0.0,0.03128791020697819,0.0,-0.4,0,-5,160,0.45578231292517,0.5481481481481482,0.8505747126436781,0.6666666666666666,0.48,0.1643835616438356,0.24489795918367346,0.5481481481481482,0.8505747126436781,0.5375,0.4369390647142183,-0.9352163162543533,-0.03128791020697819,0.4,5,1.214772872584709,0.54375,160,0.0,0.0,0,0.0,0.0,0
3,1,3d_to_1d,lstm,2308.TW,full_event_market_lstm,market_only_lstm,0.5040570361568495,0.06980805895053738,0.6136363636363636,0.09615384615384615,0.2903225806451613,-0.5053763440860215,0.5284090909090909,0.02840909090909094,0.5393185645809043,0.05907500971628454,-0.7216425824814882,-2.0356411956341725,-0.014674321409435587,-0.49796712305196356,2,-174,0.4342489772063121,0.5174825174825175,0.7956989247311828,0.5,0.4802435548646198,1.3139986131526844,0.48329280164252797,176,66,0.375,0.31958762886597936,-0.16827219591499687,0.0,-0.5294117647058824,0.0,-0.7941176470588235,0.0,-0.6352941176470588,0.47692307692307695,-0.056410256410256376,0.96875,0.71875,0.6391752577319587,0.2987497258170651,0.0,-0.5294117647058824,0.0,-0.7941176470588235,0.4696969696969697,-0.06060606060606055,0.5358455882352942,-0.034007352941176405,-1.9540168418367894,-3.917957187220672,-0.022580645978450775,-0.32242835291008887,0.0,-0.5303030303030303,1,-65,66,0.4878598247809762,0.5294117647058824,0.7941176470588235,0.6352941176470588,0.5333333333333333,0.25,0.3404255319148936,0.5294117647058824,0.7941176470588235,0.5303030303030303,0.5698529411764706,1.963940345383883,0.2998477069316381,0.5303030303030303,66,0.6799078953036413,0.5151515151515151,66,-0.022580645978450775,0.0,1,0.6799078953036413,0.5151515151515151,66
3,1,3d_to_1d,lstm,2317.TW,full_event_market_lstm,market_only_lstm,0.46853146853146854,-0.06850556850556844,0.5072463768115942,-0.05942028985507242,0.3645833333333333,-0.34375000000000006,0.4722222222222222,-0.08333333333333337,0.4533730158730158,-0.06336805555555558,0.5383933970832326,-0.19069721998881528,0.04286236541130917,-0.11210021938810577,27,-153,0.537037037037037,0.5666666666666667,0.7083333333333334,0.5555555555555556,0.5167410714285714,0.7290906170720479,0.15496258479941494,180,72,0.4,0.29411764705882354,-0.3087424142282041,0.0,-0.6595744680851063,0.0,-0.7380952380952381,0.0,-0.6966292134831461,0.4166666666666667,-0.14333333333333337,1.0,0.5333333333333333,0.5882352941176471,0.07914438502673804,0.0,-0.6595744680851063,0.0,-0.7380952380952381,0.4166666666666667,-0.20833333333333331,0.5150793650793651,-0.061111111111111005,0.0,-0.9156561285362541,0.0,-0.08622854594976448,0.0,-0.625,0,-72,72,0.6028600612870276,0.6595744680851063,0.7380952380952381,0.6966292134831461,0.56,0.4666666666666667,0.509090909090909,0.6595744680851063,0.7380952380952381,0.625,0.5761904761904761,0.9156561285362541,0.08622854594976448,0.625,72,0.4601149124583672,0.5833333333333334,72,0.0,0.0,0,0.4601149124583672,0.5833333333333334,72
3,1,3d_to_1d,lstm,2330.TW,full_event_market_lstm,market_only_lstm,0.34798534798534797,-0.07805941145659567,0.6666666666666666,0.1912568306010929,0.04081632653061224,-0.25510204081632654,0.4606741573033708,0.02808988764044945,0.4642857142857143,0.008035714285714368,-1.6068083656384236,-0.20462364229151686,-0.09902923130787122,0.1773495041326385,10,-138,0.42604475944194364,0.47540983606557374,0.29591836734693877,0.43258426966292135,0.45624999999999993,-1.4021847233469067,-0.2763787354405097,148,76,0.42696629213483145,0.3153153153153153,-0.18316872249456517,0.0,-0.5909090909090909,0.0,-0.3170731707317073,0.0,-0.4126984126984127,0.4605263157894737,-0.020955165692007782,1.0,0.2571428571428571,0.6306306306306306,0.04636096770928233,0.0,-0.5909090909090909,0.0,-0.3170731707317073,0.4605263157894737,-0.052631578947368474,0.5289198606271777,-0.015331010452961702,-2.3188426402990605,-1.919626990958111,-0.08402450709326048,-0.02834402252210033,0.2,-0.3373134328358209,5,-62,76,0.4984840378098805,0.5909090909090909,0.3170731707317073,0.4126984126984127,0.48148148148148145,0.7428571428571429,0.5842696629213483,0.5909090909090909,0.3170731707317073,0.5131578947368421,0.5442508710801394,-0.3992156493409495,-0.05568048457116015,0.5373134328358209,67,0.5273778025861091,0.5394736842105263,76,-0.08402450709326048,0.2,5,-0.019337017089128494,0.0,1
3,1,3d_to_1d,lstm,2376.TW,full_event_market_lstm,market_only_lstm,0.3857664233576642,-0.1487799675100725,0.7142857142857143,0.18367346938775508,0.053763440860215055,-0.5053763440860215,0.5187165775401069,-0.016042780748663166,0.5682910089224434,0.01978952184854732,0.0,0.9237269242091595,0.0,0.02900632922997448,0,-6,0.5345463908677367,0.5306122448979592,0.5591397849462365,0.5347593582887701,0.5485014870738961,-0.9237269242091595,-0.02900632922997448,6,4,0.0213903743315508,0.3333333333333333,-0.16666666666666669,0.0,-0.3333333333333333,0.0,-1.0,0.0,-0.5,0.6666666666666666,-0.33333333333333337,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.16666666666666663,0.0,-0.3333333333333333,0.0,-1.0,0.5,0.0,0.0,-0.33333333333333337,0.0,7.937253933193772,0.0,0.0042553190141916275,0.0,0.0,0,-1,4,0.5,0.3333333333333333,1.0,0.5,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,0.33333333333333337,-7.937253933193772,-0.0042553190141916275,0.0,1,-0.0353034535785004,0.25,4,0.0,0.0,0,0.0,0.0,0
3,1,3d_to_1d,lstm,2377.TW,full_event_market_lstm,market_only_lstm,0.5180311890838207,0.08846769702032864,0.5,0.050724637681159424,0.38372093023255816,-0.33720930232558133,0.532608695652174,0.07608695652173919,0.5364261983863313,0.07736117702895112,1.170284246408241,3.297053225473366,0.04273504391312599,0.2719346620895273,1,-42,0.4295634920634921,0.4492753623188406,0.7209302325581395,0.45652173913043476,0.4590650213573802,-2.126768979065125,-0.22919961817640133,43,5,0.02717391304347826,0.8,0.5142857142857143,0.6666666666666666,0.2666666666666666,1.0,0.0,0.8,0.22857142857142865,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8,0.8,0.6666666666666666,0.2666666666666666,1.0,0.0,0.8,0.4,0.8333333333333334,0.33333333333333337,0.0,-7.0992957397195395,0.0,-0.04559910297393799,0.0,-1.0,0,-1,5,0.2857142857142857,0.4,1.0,0.5714285714285714,0.0,0.0,0.0,0.4,1.0,0.4,0.5,7.0992957397195395,0.04559910297393799,1.0,1,0.025268067647313375,0.4,5,0.0,0.0,0,0.029649571829652333,0.5,4
3,1,3d_to_1d,lstm,2382.TW,full_event_market_lstm,market_only_lstm,0.48439008690054713,0.04636312110921631,0.6666666666666666,0.03508771929824561,0.2,0.06666666666666668,0.5449438202247191,0.022471910112359494,0.5905303030303031,0.014141414141414232,0.6808085957842251,-0.399648407030599,0.045557225719572436,-0.09147221093939484,13,-39,0.4380269657913308,0.631578947368421,0.13333333333333333,0.5224719101123596,0.5763888888888888,1.0804570028148242,0.13702943665896727,52,1,0.0056179775280898875,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0,-0.012345679104328156,0.0,1,-0.012345679104328156,0.0,1,-0.012345679104328156,0.0,1
3,1,3d_to_1d,lstm,2454.TW,full_event_market_lstm,market_only_lstm,0.4464995034756703,0.018386126535821667,0.48214285714285715,-0.010164835164835184,0.28125,-0.38541666666666663,0.46153846153846156,0.0,0.43180717054263573,0.01405038759689925,-2.932436338477333,-0.5029508972717918,-0.6642303978715578,-0.20057992747141073,125,27,0.42811337693984863,0.49230769230769234,0.6666666666666666,0.46153846153846156,0.4177567829457365,-2.429485441205541,-0.46365047040014706,98,1,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.04411764815449715,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.04411764815449715,0.0,1,-0.04411764815449715,0.0,1,-0.04411764815449715,0.0,1,-0.04411764815449715,0.0,1
3,1,3d_to_1d,lstm,3711.TW,full_event_market_lstm,market_only_lstm,0.5110507470058032,0.0161012520563083,0.5662650602409639,0.020810514786418488,0.47474747474747475,-0.07070707070707066,0.5111111111111111,0.011111111111111072,0.5048010973936901,-0.011223344556677839,-1.483731405761783,-1.0873678944741396,-0.25178680528955955,-0.21230005075642844,55,45,0.4949494949494949,0.5454545454545454,0.5454545454545454,0.5,0.5160244419503679,-0.39636351128764324,-0.03948675453313111,10,72,0.4,0.583011583011583,0.062140439635902434,0.7333333333333333,0.10542635658914723,0.5,-0.11363636363636365,0.5945945945945946,-0.026095060577819185,0.47619047619047616,0.06239737274220031,0.7142857142857143,0.28571428571428575,0.5714285714285714,0.15037593984962405,0.7333333333333333,0.10542635658914723,0.5,-0.11363636363636365,0.5833333333333334,0.04166666666666674,0.5982142857142857,0.06087662337662336,0.0,1.1780239473897474,0.0,0.020000001068467776,0.0,-0.3333333333333333,0,-3,72,0.5208711433756805,0.627906976744186,0.6136363636363636,0.6206896551724138,0.41379310344827586,0.42857142857142855,0.42105263157894735,0.627906976744186,0.6136363636363636,0.5416666666666666,0.5373376623376623,-1.1780239473897474,-0.020000001068467776,0.3333333333333333,3,0.9349662891287163,0.6111111111111112,72,-0.04532163590192795,0.0,1,0.9349662891287163,0.6111111111111112,72
